제목,장르,총 평점,유저 평점
외야의 천사들,스포츠,3.4,3.0
나일의 대모험,로맨스,3.0,3.0
커피와 담배,드라마,3.7,3.5
노인과 바다,드라마,3.6,3.5
백야,드라마,3.7,3.5
애들이 줄었어요,모험,3.3,3.0
대통령의 연인들,드라마,2.9,2.5
휴먼 스테인,드라마,3.0,2.5
레 미제라블,드라마,3.4,3.0
평범한 연인들,로맨스,3.9,3.5
귀여운 여도적,로맨스,3.2,3.0
미제국의 몰락,캐나다,3.1,3.0
오델로,로맨스,3.0,3.0
수잔 브링크의 아리랑,드라마,3.1,3.0
이마 베프,드라마,3.8,3.5
이본느의 향기,로맨스,3.5,3.0
빈센트,드라마,3.4,3.0
마담 보바리,드라마,3.1,3.0
레인,드라마,3.5,3.5
세상의 모든 아침,로맨스,3.7,3.5
라 붐 2,코미디,3.2,3.0
마지막 전투,SF,3.3,3.0
버터플라이,드라마,3.6,3.5
은행털이와 아빠와 나,코미디,3.5,3.5
사랑도 흥정이 되나요?,로맨스,2.8,2.5
린다 린다 린다,틴에이저,3.2,3.0
의식,스릴러,3.9,3.5
"키리쿠, 키리쿠",애니메이션,3.6,3.5
비독,판타지,2.7,2.5
폴리테크닉,범죄,3.5,3.5
라 붐,코미디,3.5,3.0
시라노,로맨스,3.3,3.0
