제목,장르,총 평점
스텝포드 와이프,스릴러,3.1
미라클 벨리에,코미디,3.6
배트맨 앤 로빈,판타지,2.5
번 애프터 리딩,드라마,3.4
나가요: ながよ,드라마,2.7
배트맨 포에버,액션,3.0
6번째 날,액션,3.2
바다의 뚜껑,드라마,2.8
맨체스터 바이 더 씨,드라마,3.9
나는 비밀을 알고 있다,드라마,3.5
조작된 도시,스릴러,3.3
베이컨시,스릴러,3.2
히치콕 트뤼포,다큐멘터리,3.5
더 게임,드라마,3.6
패트와 매트: 뚝딱뚝딱 대소동,애니메이션,3.8
디스터비아,범죄,3.3
다즐링 주식회사,드라마,3.5
식인어 피라나,코미디,2.8
